date,open,high,low,close,volume,taker_buy_volume,pvsra_label,rsi,target,dxy
2023-10-03 21:00:00,27394.24,27453.11,27360.0,27400.06,666.64523,322.4935,bull100,42.86526320063357,hold,107.0
2023-10-03 22:00:00,27400.06,27410.93,27270.0,27404.21,849.76355,419.53305,bull100,39.7879828418002,hold,107.0
2023-10-03 23:00:00,27404.22,27469.65,27380.36,27426.46,1122.0129,629.0257,bull100,43.22605405998146,hold,107.0
2023-10-04 00:00:00,27426.45,27435.0,27202.0,27310.43,2850.0268,1543.12186,bear200,33.45512961854662,hold,106.8000030517578
2023-10-04 01:00:00,27310.43,27355.74,27260.0,27336.8,2045.6802,1276.74824,bull150,37.779651551155744,hold,106.8000030517578
2023-10-04 02:00:00,27336.8,27510.29,27312.23,27412.14,1445.49279,803.81724,bull100,46.64018463450351,hold,106.8000030517578
2023-10-04 03:00:00,27412.14,27465.14,27404.96,27430.43,495.69234,250.96368,bull100,42.9374911006692,buy,106.8000030517578
2023-10-04 04:00:00,27430.43,27430.44,27380.16,27388.69,415.55456,160.02013,bear100,52.77850704471854,buy,106.8000030517578
2023-10-04 05:00:00,27388.68,27407.42,27357.1,27407.18,551.99969,246.76608,bull100,54.45083891656644,buy,106.8000030517578
2023-10-04 06:00:00,27407.18,27419.99,27350.75,27419.99,592.2479,307.98294,bull100,52.57493776923211,buy,106.8000030517578
2023-10-04 07:00:00,27419.99,27454.98,27405.5,27453.78,697.67116,333.95262,bull100,51.403653470185525,hold,106.8000030517578
2023-10-04 08:00:00,27453.77,27574.11,27434.1,27519.93,1030.07596,568.81921,bull100,68.72600051198911,hold,106.8000030517578
2023-10-04 09:00:00,27519.93,27638.87,27507.31,27630.0,1198.62362,620.43612,bull100,76.47120231455241,sell,106.8000030517578
2023-10-04 10:00:00,27630.01,27643.09,27520.28,27530.05,1223.63564,510.12846,bear100,60.42626374301325,hold,106.8000030517578
2023-10-04 11:00:00,27530.06,27603.75,27524.16,27572.43,1136.51646,527.32343,bull100,62.5303499512946,hold,106.8000030517578
2023-10-04 12:00:00,27572.43,27633.42,27540.17,27570.02,1190.21785,619.08861,bear100,62.08404390222576,hold,106.8000030517578
2023-10-04 13:00:00,27570.02,27577.57,27403.4,27420.0,1850.72662,853.24119,bear200,49.60311609161512,buy,106.8000030517578
2023-10-04 14:00:00,27419.99,27462.08,27329.85,27386.94,1657.45241,779.06274,bear150,55.2341729719374,buy,106.8000030517578
2023-10-04 15:00:00,27386.93,27475.0,27363.69,27404.22,1241.27453,620.36076,bull100,54.67039818227168,buy,106.8000030517578
2023-10-04 16:00:00,27404.21,27597.45,27400.94,27524.06,1468.57994,729.96621,bull100,57.30281359294256,buy,106.8000030517578
2023-10-04 17:00:00,27524.07,27590.63,27506.14,27539.51,731.08867,326.21725,bull100,57.143979880540535,buy,106.8000030517578
2023-10-04 18:00:00,27539.5,27630.0,27522.0,27627.42,931.30199,464.02068,bull100,64.74351848420835,buy,106.8000030517578
2023-10-04 19:00:00,27627.42,27839.72,27527.2,27618.1,3371.54044,1712.75773,bear200,63.17525361051407,hold,106.8000030517578
2023-10-04 20:00:00,27618.1,27739.14,27564.71,27648.98,1378.82272,631.05357,bull100,63.98822250186298,hold,106.8000030517578
2023-10-04 21:00:00,27648.99,27788.85,27647.65,27686.59,662.22604,315.05191,bull100,64.15550934539661,hold,106.8000030517578
2023-10-04 22:00:00,27686.6,27777.48,27660.8,27752.75,685.56769,346.20791,bull100,64.15594522946705,hold,106.8000030517578
